Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,44,1,28,0,2,1,40454,26,217,1
1,76,1,3,0,1,0,33536,26,183,0
1,47,1,28,0,2,1,38294,26,27,1
1,21,1,11,1,0,0,28619,152,203,0
0,29,1,41,1,0,0,27496,152,39,0
0,24,1,33,0,0,1,2630,160,176,0
1,23,1,11,0,0,1,23367,152,249,0
0,56,1,28,0,1,1,32031,26,72,1
0,24,1,3,1,0,0,27619,152,28,0
0,32,1,6,1,0,0,28771,152,80,0
0,47,1,35,0,1,1,47576,124,46,1
0,24,1,50,1,0,0,48699,152,289,0
0,41,1,15,1,1,0,31409,999,221,0
1,76,1,28,0,1,1,36770,999,15,0
1,71,1,28,1,1,0,46818,999,58,0
1,37,1,6,0,1,1,2630,156,147,1
0,25,1,45,0,0,1,26218,160,256,0
0,25,1,35,1,0,0,46622,152,299,0
1,42,1,28,0,1,1,33667,124,158,0
0,60,1,33,0,1,1,32363,124,102,1
1,65,1,28,0,1,1,41184,124,116,0
1,49,1,28,0,1,1,50791,124,177,0
1,23,1,50,1,0,0,45283,152,232,0
1,44,1,28,0,1,1,41852,163,60,0
1,34,1,15,1,1,0,38111,152,180,0
0,21,1,28,1,0,0,61964,152,72,0
0,51,1,28,0,1,1,38341,124,49,1
1,26,1,6,1,0,0,19135,152,57,0
0,25,1,8,1,0,0,27946,152,223,0
1,57,1,11,0,1,1,25679,157,232,1
0,26,1,8,0,0,0,2630,160,136,0
1,79,1,28,0,1,1,57444,26,222,0
0,48,1,28,0,1,1,36951,122,149,0
0,24,1,36,0,0,1,43129,152,49,0
0,32,1,30,1,0,0,27638,152,169,0
1,41,1,36,1,1,0,30039,124,88,0
1,71,1,8,1,1,0,40903,999,253,0
0,25,1,28,1,0,0,72963,152,107,0
1,45,1,8,0,1,1,42297,124,264,0
1,72,1,41,1,1,0,32210,152,233,0
1,30,1,30,0,0,1,24550,124,45,0
0,54,1,28,0,1,0,38560,122,184,0
1,27,1,41,0,0,0,21078,152,251,0
0,38,1,35,1,1,0,2630,152,153,0
0,26,1,30,1,0,0,31136,152,186,0
1,56,1,28,0,1,1,34617,124,71,0
0,29,1,15,1,0,0,32923,152,34,0
1,51,1,26,1,1,0,33761,999,83,0
0,25,1,15,0,0,0,38667,152,12,0
1,48,1,3,0,1,0,38233,124,246,0
0,22,1,50,0,0,0,15052,152,141,0
1,22,1,16,0,0,1,30673,152,216,0
0,49,1,3,1,1,0,25553,152,130,0
1,78,1,41,1,1,0,49491,26,282,0
0,44,1,28,0,1,1,45415,999,73,0
0,20,1,47,0,0,1,25380,160,171,0
1,39,1,28,0,1,1,57582,26,141,0
1,54,1,28,0,1,1,25205,26,283,1
0,62,1,48,0,1,1,2630,999,295,0
1,29,1,3,1,0,0,35463,152,165,0
1,49,1,8,0,1,1,2630,156,30,0
0,20,1,50,0,0,1,36615,160,218,0
0,62,1,28,0,2,1,33830,26,130,0
1,58,1,19,1,1,0,39661,26,141,0
1,39,1,15,0,1,1,37849,124,22,0
0,59,1,30,0,1,1,34426,26,147,0
1,41,1,28,0,1,1,42268,154,36,0
1,60,1,28,0,1,1,66338,124,73,0
1,63,1,28,1,1,0,61739,124,79,0
0,50,1,41,0,1,1,2630,26,81,1
1,44,1,47,0,1,1,46481,999,100,0
0,27,1,11,0,0,1,34587,26,63,0
0,23,1,39,1,0,0,40372,152,242,0
1,50,1,28,1,1,0,27784,26,277,0
1,59,1,23,0,1,0,27865,124,39,0
0,59,1,26,1,1,0,35649,122,136,0
1,67,1,28,1,1,0,31993,122,61,0
0,27,1,33,1,0,0,35512,152,111,0
1,29,1,28,0,1,1,42567,26,167,1
1,77,1,37,1,1,0,40651,124,183,0
1,54,1,26,0,1,1,35493,999,74,0
0,28,1,28,1,0,0,38529,152,235,0
0,39,1,8,1,1,0,34735,152,131,0
0,39,1,5,0,1,1,31760,26,141,0
1,69,1,28,0,1,1,29802,122,158,0
0,21,1,17,0,0,1,27756,160,243,0
0,54,1,47,0,2,1,32873,26,248,0
1,25,1,23,0,0,1,23537,152,58,0
0,23,1,35,1,0,0,27606,160,114,0
0,20,1,36,0,0,1,46275,160,281,1
0,25,1,50,1,0,0,31556,152,62,0
0,26,1,30,1,0,0,31791,152,189,0
1,77,1,28,0,1,1,36099,124,139,0
0,28,1,41,0,1,0,2630,156,138,0
0,23,1,15,0,0,1,41641,152,209,0
0,23,1,30,0,0,0,26689,152,254,0
1,50,1,28,0,1,1,46995,999,291,0
0,62,1,28,0,2,1,41892,999,114,0
0,21,1,2,0,0,1,34274,152,79,0
0,24,1,7,1,0,1,2630,160,68,0
1,52,1,28,1,1,0,36033,26,92,0
1,24,1,3,1,0,0,28139,152,52,0
0,20,1,30,0,0,1,33227,160,78,0
0,22,1,8,1,0,0,39816,152,156,0
1,29,1,41,1,0,1,43046,163,222,0
0,44,1,28,0,1,1,50521,26,22,1
0,23,1,41,1,0,0,36674,152,158,0
1,31,1,29,0,1,1,28867,124,247,0
1,72,1,46,1,1,1,28698,999,216,0
1,45,1,35,0,1,1,2630,124,275,0
1,27,1,8,1,0,0,31428,122,77,0
0,48,1,46,0,2,1,37379,999,139,0
0,33,1,30,1,0,0,24998,152,181,0
1,50,1,30,0,1,1,34271,26,229,1
0,28,1,30,1,0,0,32830,152,275,0
0,32,1,46,0,1,1,34810,26,166,0
1,69,1,46,0,1,1,2630,999,16,0
0,32,1,27,1,0,0,22838,151,295,0
0,23,1,29,1,0,0,37983,152,23,0
0,23,1,25,0,0,0,2630,152,149,0
1,39,1,3,0,1,1,37239,26,216,1
0,39,1,28,1,1,0,37243,124,31,0
1,37,1,13,0,1,1,30440,124,293,0
1,34,1,18,0,1,1,38232,124,156,1
1,23,1,15,1,0,0,25605,160,256,0
1,49,1,28,0,1,1,2630,124,88,0
1,23,1,41,1,0,0,33307,152,147,0
0,22,1,25,0,0,1,23955,160,22,0
0,22,1,20,0,0,1,2630,152,219,0
0,27,1,41,1,0,0,22371,152,50,0
1,50,1,28,0,1,1,57389,26,155,1
0,27,1,28,1,0,0,30005,152,92,0
1,28,1,37,1,0,0,32600,152,131,0
0,25,1,49,1,0,0,31680,152,66,0
0,27,1,8,1,0,0,40651,152,260,0
0,43,1,41,0,1,1,2630,26,19,1
0,59,1,39,0,1,1,32775,124,158,0
0,23,1,36,0,0,1,33638,160,22,0
1,36,1,28,1,1,0,2630,26,258,0
1,21,1,29,1,0,0,62164,152,116,0
0,21,1,46,1,0,0,27528,160,117,0
0,47,1,41,1,1,0,42080,124,62,0
1,25,1,28,1,0,0,36202,152,193,0
0,32,1,46,0,1,1,27320,156,204,0
1,21,1,3,1,0,0,40511,160,212,0
1,23,1,28,0,0,1,56589,152,144,0
0,27,1,30,1,0,0,33780,152,246,0
1,20,1,39,1,0,0,28329,160,78,0
0,38,1,28,0,1,1,34471,124,234,1
0,22,1,11,1,0,0,72963,152,258,0
1,25,1,8,0,0,1,54385,152,206,0
1,27,1,28,0,0,1,26732,152,282,0
1,51,1,19,0,1,1,2630,124,228,0
1,53,1,28,1,1,0,40397,122,156,0
0,24,1,22,1,0,0,34591,152,125,0
0,49,1,28,0,1,1,32771,154,29,0
0,41,1,28,0,1,1,54740,124,212,1
1,41,1,35,0,1,1,25112,154,221,0
0,23,1,47,0,0,1,28737,152,18,0
0,31,1,15,1,0,0,25908,152,84,0
1,20,1,3,1,0,0,41914,160,206,0
1,70,1,25,1,1,0,2630,124,230,0
1,78,1,28,1,1,0,42462,26,54,0
0,31,1,28,1,1,0,29395,26,123,0
0,48,1,36,1,1,0,2630,124,189,0
1,25,1,30,1,0,0,29396,152,22,0
0,28,1,44,0,1,1,37570,156,258,1
0,26,1,8,0,0,1,72963,152,101,0
0,60,1,28,1,1,0,30386,26,114,0
0,28,1,8,1,0,0,31454,152,86,0
1,23,1,36,1,0,0,52462,152,243,0
1,22,1,36,1,0,0,36352,152,13,0
0,50,1,28,0,1,1,36282,26,237,0
0,33,1,36,1,0,0,40899,152,85,0
1,24,1,35,1,0,0,23540,152,98,0
0,22,1,36,1,0,0,34527,152,67,0
1,25,1,28,1,0,0,72963,152,49,0
1,60,1,45,0,1,0,42888,124,229,0
1,46,1,28,0,1,1,60478,26,128,1
0,45,1,46,0,1,1,22689,26,95,0
1,30,1,28,1,1,0,40167,999,264,0
1,52,1,0,0,1,1,2630,124,89,0
1,47,1,15,1,1,0,29306,999,99,0
1,59,1,41,1,1,0,28821,26,29,0
0,51,1,28,0,1,1,57008,26,208,0
1,52,1,0,1,1,0,2630,26,134,0
1,48,1,8,0,2,1,44021,124,135,0
1,42,1,37,0,1,1,36532,124,268,0
0,45,1,28,0,1,1,25604,26,85,0
0,27,1,11,1,1,0,26756,124,254,0
0,28,1,8,1,0,0,37731,152,30,0
0,24,1,16,1,0,0,28190,152,284,0
1,32,1,46,1,0,0,23847,152,183,0
1,21,1,47,0,0,0,37028,160,119,0
1,39,1,28,1,1,0,29468,26,166,0
1,55,1,30,1,1,0,29215,26,226,0
0,56,1,15,0,1,0,29132,154,229,0
1,42,1,3,0,1,1,32293,124,105,1
0,26,1,26,1,0,0,2630,152,142,0
0,42,1,28,0,1,1,40613,124,242,0
1,55,1,28,0,1,1,49470,124,203,0
0,41,1,28,0,1,1,22561,124,207,1
1,22,1,11,1,0,0,21126,152,272,0
1,42,1,8,0,1,0,24224,154,66,0
0,30,1,28,0,0,1,39104,122,263,1
1,21,1,30,0,0,1,26720,160,64,0
0,23,1,46,1,0,0,18682,152,57,0
0,21,1,6,0,0,1,19196,152,40,0
1,24,1,6,1,0,0,18576,151,245,0
1,26,1,37,0,0,1,57159,160,163,0
0,48,1,28,1,1,0,35945,124,24,0
1,45,1,28,0,1,1,33205,26,243,0
1,44,1,28,0,2,1,42754,124,23,1
1,42,1,45,0,1,0,28759,999,102,0
1,44,1,2,0,1,0,34618,26,265,0
0,25,1,9,0,0,0,34280,160,202,0
0,60,1,28,0,2,1,65472,26,36,0
0,21,1,46,0,0,1,33245,152,259,0
1,22,1,15,0,0,1,32252,160,100,0
1,23,1,41,1,0,0,26285,152,91,0
0,44,1,28,1,1,0,2630,124,114,0
1,40,1,20,0,1,1,2630,26,204,0
1,21,1,27,1,0,0,45006,160,106,0
0,61,1,28,0,2,1,2630,157,190,1
1,75,1,28,0,2,1,40765,124,162,0
0,53,1,28,1,1,0,44313,999,33,0
1,37,1,8,1,1,0,29099,152,194,0
1,29,1,28,1,0,0,44742,152,85,0
1,32,1,50,0,0,0,2630,999,287,0
0,64,1,28,1,1,1,41697,26,287,0
1,42,1,31,0,1,1,2630,124,181,0
1,24,1,47,0,0,1,36414,124,292,0
1,53,1,0,0,1,1,2630,26,69,0
1,62,1,15,0,1,0,44679,999,239,0
1,25,1,46,1,0,0,39914,152,235,0
1,23,1,39,0,0,1,29575,152,281,1
0,48,1,33,0,1,1,44724,154,132,0
1,28,1,15,1,0,0,38339,152,245,0
1,33,1,3,1,1,0,27609,152,255,0
0,63,1,28,0,2,1,31004,26,281,0
1,22,1,46,1,0,0,30745,152,147,0
1,27,1,3,1,0,0,27181,152,125,0
0,36,1,28,0,1,1,40431,124,230,0
1,49,1,28,0,1,1,45558,26,49,0
0,39,1,46,0,1,0,35145,26,116,0
0,21,1,11,0,0,1,35555,152,242,1
0,57,1,46,0,1,1,30777,26,158,0
0,43,1,28,0,1,1,29578,999,203,1
0,25,1,27,0,0,0,2630,152,167,0
1,41,1,11,1,1,0,35614,26,152,0
1,33,1,31,1,0,0,2630,152,259,0
1,23,1,12,1,0,0,24886,26,111,0
0,20,1,34,0,0,1,33247,160,281,0
1,36,1,28,1,1,0,47682,124,121,0
1,21,1,13,1,0,0,37710,152,30,0
0,57,1,28,0,2,1,2630,26,71,0
1,25,1,28,1,0,0,43516,152,150,0
0,24,1,46,0,0,1,27141,152,246,0
1,67,1,28,1,1,0,31011,122,63,0
1,24,1,13,1,0,0,44603,152,207,0
1,54,1,28,0,1,1,34367,124,237,1
0,22,1,12,1,0,0,29823,152,128,0
1,45,1,30,1,1,0,2630,26,121,0
1,22,1,36,1,0,0,2630,152,60,0
1,24,1,28,0,0,1,21583,152,143,0
0,22,1,11,1,0,0,32234,152,117,0
1,48,1,28,0,1,1,42028,26,77,0
0,28,1,21,1,0,0,26106,152,95,0
0,27,1,50,0,0,1,2630,160,83,0
1,49,1,46,1,1,0,2630,999,198,0
1,62,1,8,0,1,1,47272,26,194,0
1,45,1,28,0,1,1,42704,26,116,0
0,60,1,6,0,1,1,2630,157,143,0
0,20,1,17,0,1,0,2630,156,181,0
0,38,1,10,0,1,1,37039,124,103,0
0,52,1,31,0,1,1,2630,26,127,0
0,36,1,15,0,1,1,2630,26,69,1
1,55,1,28,0,2,1,41246,26,285,0
0,20,1,35,0,0,1,34281,160,214,0
1,25,1,28,1,0,0,47031,26,151,0
1,25,1,39,0,0,0,2630,152,217,0
0,54,1,41,0,1,1,53581,124,199,1
0,21,1,14,1,0,0,36712,152,56,0
1,40,1,48,0,2,1,2630,26,86,0
1,36,1,28,0,1,1,34165,124,143,0
1,42,1,15,0,1,1,28883,26,66,0
1,24,1,10,1,0,0,35443,152,45,0
1,39,1,28,0,1,1,32807,157,186,0
1,26,1,10,0,0,1,24115,152,69,0
1,64,1,8,0,1,1,2630,124,293,0
0,25,1,47,1,0,0,2630,160,299,0
0,22,1,13,1,0,0,37093,152,66,0
0,43,1,3,0,1,1,31020,26,59,1
0,28,1,6,1,0,0,18683,152,215,0
1,22,1,13,1,0,0,33413,152,104,0
0,26,1,16,0,0,1,32232,152,238,0
0,22,1,46,0,0,1,31180,152,120,0
1,60,1,8,0,1,1,2630,124,21,0
0,49,1,31,0,1,1,2630,124,32,1
