,detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost,place_order_time,discount_amt,discount_reason,kick_back,add_inprice,add_info,bar_code,picture_file,emp_id
0,2956,417,610062,,,蒜蓉生蚝,0,1,49,,2016-08-01 11:05:36,,,,0,,,caipu/104001.jpg,1442
1,2958,417,609957,,,"蒙古烤羊腿


",0,1,48,,2016-08-01 11:07:07,,,,0,,,caipu/202003.jpg,1442
2,2961,417,609950,,,大蒜苋菜,0,1,30,,2016-08-01 11:07:40,,,,0,,,caipu/303001.jpg,1442
3,2966,417,610038,,,芝麻烤紫菜,0,1,25,,2016-08-01 11:11:11,,,,0,,,caipu/105002.jpg,1442
4,2968,417,610003,,,蒜香包,0,1,13,,2016-08-01 11:11:30,,,,0,,,caipu/503002.jpg,1442
5,1899,301,610019,,,白斩鸡,0,1,88,,2016-08-01 11:15:57,,,,0,,,caipu/204002.jpg,1095
6,1902,301,609991,,,"香烤牛排
",0,1,55,,2016-08-01 11:19:12,,,,0,,,caipu/201001.jpg,1095
7,1906,301,609983,,,干锅田鸡,0,1,88,,2016-08-01 11:22:21,,,,0,,,caipu/205003.jpg,1095
8,1907,301,609981,,,桂圆枸杞鸽子汤,0,1,48,,2016-08-01 11:22:53,,,,0,,,caipu/205001.jpg,1095
9,1908,301,610030,,,番茄有机花菜,0,1,32,,2016-08-01 11:23:56,,,,0,,,caipu/304004.jpg,1095
10,1910,301,610011,,,白饭/大碗,0,1,10,,2016-08-01 11:31:15,,,,0,,,caipu/601005.jpg,1095
11,2916,413,609966,,,芝士烩波士顿龙虾,0,1,175,,2016-08-01 12:42:52,,,,0,,,caipu/101001.jpg,1147
12,2919,413,609965,,,葱姜炒蟹,0,1,109,,2016-08-01 12:43:21,,,,0,,,caipu/102005.jpg,1147
13,2921,413,609936,,,皮蛋瘦肉粥,0,1,16,,2016-08-01 12:43:34,,,,0,,,caipu/602002.jpg,1147
14,2923,413,609978,,,爆炒鳝碌,0,1,55,,2016-08-01 12:44:08,,,,0,,,caipu/106003.jpg,1147
15,2925,413,609983,,,干锅田鸡,0,1,88,,2016-08-01 12:44:12,,,,0,,,caipu/205003.jpg,1147
16,2927,413,610050,,,番茄甘蓝,0,1,33,,2016-08-01 12:45:09,,,,0,,,caipu/301004.jpg,1147
17,2926,413,609984,,,重庆特色油烧兔,0,1,69,,2016-08-01 12:45:24,,,,0,,,caipu/205004.jpg,1147
18,2928,413,610013,,,番茄炖秋葵,0,1,35,,2016-08-01 12:46:26,,,,0,,,caipu/302002.jpg,1147
19,2930,413,610032,,,长城窖酿解百纳红酒干红葡萄酒,0,1,35,,2016-08-01 12:48:48,,,,0,,,caipu/401001.jpg,1147
20,2932,413,609973,,,紫薯面包卷,0,1,20,,2016-08-01 12:49:27,,,,0,,,caipu/502003.jpg,1147
21,2934,413,610007,,,桂圆肉红豆八宝饭,0,1,39,,2016-08-01 12:50:03,,,,0,,,caipu/601001.jpg,1147
22,2938,415,609964,,,避风塘炒蟹,0,1,48,,2016-08-01 12:51:38,,,,0,,,caipu/102004.jpg,1166
23,2935,413,609992,,,"番茄炖牛腩


",0,1,35,,2016-08-01 12:51:46,,,,0,,,caipu/201002.jpg,1147
24,2936,413,610012,,,香菇鹌鹑蛋,0,1,39,,2016-08-01 12:52:18,,,,0,,,caipu/302001.jpg,1147
25,2940,415,610064,,,花蛤蒸蛋,0,1,37,,2016-08-01 12:52:37,,,,0,,,caipu/104003.jpg,1166
26,2937,413,610023,,,啤酒鸭,0,1,48,,2016-08-01 12:53:39,,,,0,,,caipu/204006.jpg,1147
27,2939,413,609931,,,焖猪手,0,1,58,,2016-08-01 12:54:30,,,,0,,,caipu/203002.jpg,1147
28,2643,392,609930,,,豌豆薯仔猪骨汤,0,1,39,,2016-08-01 12:58:44,,,,0,,,caipu/203001.jpg,1094
29,2942,415,609959,,,"小炒羊腰


",0,1,36,,2016-08-01 12:59:03,,,,0,,,caipu/202005.jpg,1166
30,2652,392,609936,,,皮蛋瘦肉粥,0,1,16,,2016-08-01 12:59:16,,,,0,,,caipu/602002.jpg,1094
31,2650,392,609935,,,山药养生粥,0,1,19,,2016-08-01 12:59:26,,,,0,,,caipu/602001.jpg,1094
32,2943,415,609957,,,"蒙古烤羊腿


",0,1,48,,2016-08-01 12:59:48,,,,0,,,caipu/202003.jpg,1166
33,2654,392,609937,,,冰糖红豆薏米粥,0,1,15,,2016-08-01 12:59:55,,,,0,,,caipu/602003.jpg,1094
34,2649,392,609934,,,芹菜炒腰花,0,1,18,,2016-08-01 12:59:56,,,,0,,,caipu/203005.jpg,1094
35,2656,392,609938,,,小米南瓜粥,0,1,13,,2016-08-01 12:59:59,,,,0,,,caipu/602004.jpg,1094
36,2657,392,609939,,,香菇鸡肉粥,0,1,15,,2016-08-01 13:00:13,,,,0,,,caipu/602005.jpg,1094
37,2664,392,609943,,,剁椒鱼头,0,1,55,,2016-08-01 13:00:33,,,,0,,,caipu/103004.jpg,1094
38,2667,392,609945,,,农夫山泉NFC果汁100%橙汁,0,1,6,,2016-08-01 13:00:42,,,,0,,,caipu/404001.jpg,1094
39,2665,392,609944,,,水煮鱼,0,1,65,,2016-08-01 13:00:59,,,,0,,,caipu/103005.jpg,1094
40,2946,415,610016,,,五彩藕苗,0,1,35,,2016-08-01 13:01:27,,,,0,,,caipu/302005.jpg,1166
41,2669,392,609946,,,谷稻小庄 ,0,1,38,,2016-08-01 13:01:50,,,,0,,,caipu/404002.jpg,1094
42,2675,392,609948,,,露露无糖杏仁露,0,1,7,,2016-08-01 13:02:06,,,,0,,,caipu/404004.jpg,1094
43,2670,392,609947,,, 北冰洋汽水 ,0,1,5,,2016-08-01 13:02:29,,,,0,,,caipu/404003.jpg,1094
44,2948,415,609930,,,豌豆薯仔猪骨汤,0,1,39,,2016-08-01 13:02:41,,,,0,,,caipu/203001.jpg,1166
45,2677,392,609949,,,意文柠檬汁 ,0,1,13,,2016-08-01 13:02:47,,,,0,,,caipu/404005.jpg,1094
46,2680,392,609950,,,大蒜苋菜,0,1,30,,2016-08-01 13:03:59,,,,0,,,caipu/303001.jpg,1094
47,2684,392,609952,,,美妙绝伦之白莲花,0,1,29,,2016-08-01 13:04:08,,,,0,,,caipu/303003.jpg,1094
48,2682,392,609951,,,炝炒大白菜,0,1,29,,2016-08-01 13:04:50,,,,0,,,caipu/303002.jpg,1094
49,2689,392,609954,,,凉拌蒜蓉西兰花,0,1,29,,2016-08-01 13:05:03,,,,0,,,caipu/304001.jpg,1094
50,2693,392,609956,,,孜然羊排,0,1,88,,2016-08-01 13:05:13,,,,0,,,caipu/202002.jpg,1094
51,2687,392,609953,,,凉拌菠菜,0,1,27,,2016-08-01 13:05:56,,,,0,,,caipu/303004.jpg,1094
52,2695,392,609957,,,"蒙古烤羊腿


",0,1,48,,2016-08-01 13:06:10,,,,0,,,caipu/202003.jpg,1094
53,2950,415,609955,,,红酒炖羊肉,0,1,108,,2016-08-01 13:06:16,,,,0,,,caipu/202001.jpg,1166
54,2729,392,609968,,,油焖麻辣虾,0,1,65,,2016-08-01 13:06:17,,,,0,,,caipu/101003.jpg,1094
55,2697,392,609958,,,"香辣爆羊肝


",0,1,28,,2016-08-01 13:06:38,,,,0,,,caipu/202004.jpg,1094
56,2952,415,610071,,, 42度海之蓝,0,1,99,,2016-08-01 13:07:10,,,,0,,,caipu/401004.jpg,1166
57,2733,392,609989,,,青岛啤酒罐装,0,1,7,,2016-08-01 13:07:31,,,,0,,,caipu/403004.jpg,1094
58,2951,415,610011,,,白饭/大碗,0,1,10,,2016-08-01 13:07:35,,,,0,,,caipu/601005.jpg,1166
59,2953,415,609945,,,农夫山泉NFC果汁100%橙汁,0,1,6,,2016-08-01 13:08:40,,,,0,,,caipu/404001.jpg,1166
60,2535,381,609996,,,牛尾汤,0,1,40,,2016-08-01 13:13:30,,,,0,,,caipu/201006.jpg,1243
61,2539,381,609994,,,"独家薄荷鲜虾牛肉卷


",0,1,45,,2016-08-01 13:13:55,,,,0,,,caipu/201004.jpg,1243
62,2542,381,610012,,,香菇鹌鹑蛋,0,1,39,,2016-08-01 13:15:02,,,,0,,,caipu/302001.jpg,1243
63,2544,381,610047,,,西瓜胡萝卜沙拉,0,1,26,,2016-08-01 13:16:15,,,,0,,,caipu/301001.jpg,1243
64,3059,429,609968,,,油焖麻辣虾,0,1,65,,2016-08-01 13:17:37,,,,0,,,caipu/101003.jpg,1452
65,3063,429,609962,,,倒立蒸梭子蟹,0,1,169,,2016-08-01 13:18:10,,,,0,,,caipu/102002.jpg,1452
66,3065,429,609943,,,剁椒鱼头,0,1,55,,2016-08-01 13:18:45,,,,0,,,caipu/103004.jpg,1452
67,3067,429,609952,,,美妙绝伦之白莲花,0,1,29,,2016-08-01 13:20:42,,,,0,,,caipu/303003.jpg,1452
68,2546,381,609946,,,谷稻小庄 ,0,1,38,,2016-08-01 13:21:25,,,,0,,,caipu/404002.jpg,1243
69,2549,381,610052,,,黄油曲奇饼干,0,1,16,,2016-08-01 13:22:14,,,,0,,,caipu/501001.jpg,1243
70,2551,381,610008,,,五色糯米饭(七色),0,1,35,,2016-08-01 13:23:09,,,,0,,,caipu/601002.jpg,1243
71,3068,429,609948,,,露露无糖杏仁露,0,1,7,,2016-08-01 13:24:05,,,,0,,,caipu/404004.jpg,1452
72,3069,429,609947,,, 北冰洋汽水 ,0,1,5,,2016-08-01 13:24:10,,,,0,,,caipu/404003.jpg,1452
73,3070,429,609971,,,大理石奶油蛋糕,0,1,13,,2016-08-01 13:25:16,,,,0,,,caipu/502001.jpg,1452
74,3074,429,610072,,,53度茅台,0,1,128,,2016-08-01 13:26:39,,,,0,,,caipu/401005.jpg,1452
75,3077,429,610056,,,纸杯蛋糕,0,1,8,,2016-08-01 13:27:14,,,,0,,,caipu/501005.jpg,1452
76,3078,429,610007,,,桂圆肉红豆八宝饭,0,1,39,,2016-08-01 13:29:41,,,,0,,,caipu/601001.jpg,1452
77,3082,429,610044,,,木须豌豆,0,1,32,,2016-08-01 13:31:04,,,,0,,,caipu/305003.jpg,1452
78,3080,429,610021,,,爆炒鸡翅,0,1,56,,2016-08-01 13:31:11,,,,0,,,caipu/204004.jpg,1452
79,3079,429,609939,,,香菇鸡肉粥,0,1,15,,2016-08-01 13:31:21,,,,0,,,caipu/602005.jpg,1452
80,3081,429,610023,,,啤酒鸭,0,1,48,,2016-08-01 13:31:38,,,,0,,,caipu/204006.jpg,1452
81,3083,429,609950,,,大蒜苋菜,0,1,30,,2016-08-01 13:34:01,,,,0,,,caipu/303001.jpg,1452
82,3116,433,609978,,,爆炒鳝碌,0,1,55,,2016-08-01 13:38:27,,,,0,,,caipu/106003.jpg,1109
83,3117,433,609955,,,红酒炖羊肉,0,1,108,,2016-08-01 13:39:07,,,,0,,,caipu/202001.jpg,1109
84,3118,433,609965,,,葱姜炒蟹,0,1,109,,2016-08-01 13:41:12,,,,0,,,caipu/102005.jpg,1109
85,3119,433,609989,,,青岛啤酒罐装,0,2,7,,2016-08-01 13:41:38,,,,0,,,caipu/403004.jpg,1109
86,3120,433,609944,,,水煮鱼,0,1,65,,2016-08-01 13:44:31,,,,0,,,caipu/103005.jpg,1109
87,3121,433,609990,,,特醇嘉士伯啤酒罐装,0,2,6,,2016-08-01 13:46:57,,,,0,,,caipu/403005.jpg,1109
88,3122,433,609988,,,百威啤酒罐装,0,2,6,,2016-08-01 13:48:15,,,,0,,,caipu/403003.jpg,1109
89,3123,433,609942,,,辣炒鱿鱼,0,1,58,,2016-08-01 13:48:39,,,,0,,,caipu/103003.jpg,1109
90,3124,433,610011,,,白饭/大碗,0,1,10,,2016-08-01 13:49:06,,,,0,,,caipu/601005.jpg,1109
91,3127,433,610028,,,培根花菜,0,1,35,,2016-08-01 13:50:03,,,,0,,,caipu/304002.jpg,1109
92,3126,433,610050,,,番茄甘蓝,0,1,33,,2016-08-01 13:50:15,,,,0,,,caipu/301004.jpg,1109
93,4509,569,609963,,,盘蟹蒸蛋,0,2,55,,2016-08-01 17:06:20,,,,0,,,caipu/102003.jpg,1143
94,4513,569,609936,,,皮蛋瘦肉粥,0,5,16,,2016-08-01 17:16:31,,,,0,,,caipu/602002.jpg,1143
95,4516,569,609932,,,爆炒猪肝,0,2,68,,2016-08-01 17:18:57,,,,0,,,caipu/203003.jpg,1143
96,5453,655,609968,,,油焖麻辣虾,0,1,65,,2016-08-01 17:32:27,,,,0,,,caipu/101003.jpg,1268
97,5461,655,609957,,,"蒙古烤羊腿


",0,1,48,,2016-08-01 17:33:05,,,,0,,,caipu/202003.jpg,1268
98,5468,655,609946,,,谷稻小庄 ,0,1,38,,2016-08-01 17:33:32,,,,0,,,caipu/404002.jpg,1268
99,5465,655,609953,,,凉拌菠菜,0,1,27,,2016-08-01 17:33:51,,,,0,,,caipu/303004.jpg,1268
100,5470,655,610011,,,白饭/大碗,0,2,10,,2016-08-01 17:35:40,,,,0,,,caipu/601005.jpg,1268
101,5471,655,609958,,,"香辣爆羊肝


",0,1,28,,2016-08-01 17:36:20,,,,0,,,caipu/202004.jpg,1268
102,4586,577,609966,,,芝士烩波士顿龙虾,0,1,175,,2016-08-01 17:37:07,,,,0,,,caipu/101001.jpg,1150
103,5143,622,610043,,,肉丁茄子,0,1,39,,2016-08-01 17:40:18,,,,0,,,caipu/305002.jpg,1220
104,5142,622,609984,,,重庆特色油烧兔,0,1,69,,2016-08-01 17:40:48,,,,0,,,caipu/205004.jpg,1220
105,4588,577,609931,,,焖猪手,0,1,58,,2016-08-01 17:40:56,,,,0,,,caipu/203002.jpg,1150
106,4593,577,609934,,,芹菜炒腰花,0,1,18,,2016-08-01 17:41:23,,,,0,,,caipu/203005.jpg,1150
107,5472,655,609960,,,白胡椒胡萝卜羊肉汤,0,1,35,,2016-08-01 17:41:44,,,,0,,,caipu/202006.jpg,1268
108,5144,622,610025,,,番茄蛋汤,0,1,25,,2016-08-01 17:43:29,,,,0,,,caipu/204008.jpg,1220
109,5473,655,610010,,,白饭/小碗,0,2,1,,2016-08-01 17:44:32,,,,0,,,caipu/601004.jpg,1268
110,4597,577,609953,,,凉拌菠菜,0,1,27,,2016-08-01 17:44:35,,,,0,,,caipu/303004.jpg,1150
