,detail_id,order_id,dishes_id,logicprn_name,parent_class_name,dishes_name,itemis_add,counts,amounts,cost
0,2956,417,610062,,,蒜蓉生蚝,0,1,49,
1,2958,417,609957,,,"蒙古烤羊腿


",0,1,48,
2,2961,417,609950,,,大蒜苋菜,0,1,30,
3,2966,417,610038,,,芝麻烤紫菜,0,1,25,
4,2968,417,610003,,,蒜香包,0,1,13,
5,1899,301,610019,,,白斩鸡,0,1,88,
6,1902,301,609991,,,"香烤牛排
",0,1,55,
7,1906,301,609983,,,干锅田鸡,0,1,88,
8,1907,301,609981,,,桂圆枸杞鸽子汤,0,1,48,
9,1908,301,610030,,,番茄有机花菜,0,1,32,
10,1910,301,610011,,,白饭/大碗,0,1,10,
11,2916,413,609966,,,芝士烩波士顿龙虾,0,1,175,
12,2919,413,609965,,,葱姜炒蟹,0,1,109,
13,2921,413,609936,,,皮蛋瘦肉粥,0,1,16,
14,2923,413,609978,,,爆炒鳝碌,0,1,55,
15,2925,413,609983,,,干锅田鸡,0,1,88,
16,2927,413,610050,,,番茄甘蓝,0,1,33,
17,2926,413,609984,,,重庆特色油烧兔,0,1,69,
18,2928,413,610013,,,番茄炖秋葵,0,1,35,
19,2930,413,610032,,,长城窖酿解百纳红酒干红葡萄酒,0,1,35,
20,2932,413,609973,,,紫薯面包卷,0,1,20,
21,2934,413,610007,,,桂圆肉红豆八宝饭,0,1,39,
22,2938,415,609964,,,避风塘炒蟹,0,1,48,
23,2935,413,609992,,,"番茄炖牛腩


",0,1,35,
24,2936,413,610012,,,香菇鹌鹑蛋,0,1,39,
25,2940,415,610064,,,花蛤蒸蛋,0,1,37,
26,2937,413,610023,,,啤酒鸭,0,1,48,
27,2939,413,609931,,,焖猪手,0,1,58,
28,2643,392,609930,,,豌豆薯仔猪骨汤,0,1,39,
29,2942,415,609959,,,"小炒羊腰


",0,1,36,
30,2652,392,609936,,,皮蛋瘦肉粥,0,1,16,
31,2650,392,609935,,,山药养生粥,0,1,19,
32,2943,415,609957,,,"蒙古烤羊腿


",0,1,48,
33,2654,392,609937,,,冰糖红豆薏米粥,0,1,15,
34,2649,392,609934,,,芹菜炒腰花,0,1,18,
35,2656,392,609938,,,小米南瓜粥,0,1,13,
36,2657,392,609939,,,香菇鸡肉粥,0,1,15,
